Notes,"Auto (only x, y and -1 will be used)",Main catego,Sub catego name,sub gatego acrynom,Four letter name,"Tail, chain B (GL2, sn-1)","Tail, chain A (GL1, sn-2)","Tail, chain C (only used in TAG)",tail name,Common name,"Description (e.g. mapped structure, example of underlying AA names)",Keywords,Parameterization,Ref(s),Created,Author(s),Modified,Ref area per lipid (nm^2),Warninigs/Notes,,Generator -alhead,Generator -allink,Generator -altail,Sim setup -charge,General notes
,x,S1,S1D based IL -  Neutral,S1,DBS1,CCCCC,CCCCC,,di-C22:0,di-C22:0,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,S1,,CCCCC CCCCC,0,
,x,S1,S1D based IL -  Neutral,S1,DOS1,CDCC,CDCC,,di-C18:1,di-C18:1,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,S1,,CDCC CDCC,0,
,x,S1,S1D based IL -  Neutral,S1,DVS1,CCDC,CCDC,,di-C18:1,di-C18:1,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,S1,,CCDC CCDC,0,
,x,S1,S1D based IL -  Neutral,S1,DES1,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DES1),S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,S1,,CCDCC CCDCC,0,
,x,S1,S1D based IL -  Neutral,S1,DNS1,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of ionizable Martini 3 lipids  (DNS1),S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,S1,,CCCDCC CCCDCC,0,
,x,S1,S1D based IL -  Neutral,S1,SOS1,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,S1,,CCCC CDCC,0,
,x,S1,S1D based IL -  Neutral,S1,SLS1,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,S1,,CCCC CDDC,0,
,x,S1,S1D based IL -  Neutral,S1,OLS1,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,S1,,CDCC CDDC,0,
,x,S1,S1D based IL -  Neutral,S1,OES1,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,S1,,CDCC CCDCC,0,
,x,S1,S1D based IL -  Neutral,S1,LFS1,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,S1,,CDDC CDDD,0,
,x,S1,S1D based IL -  Neutral,S1,DUS1,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,S1D based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,S1,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_S1P_dev_v1.itp,S1D based IL -  Charged,Collection of ionizable Martini 3 lipids,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,SP,S1D based IL -  Charged,SP,DLSP,CCC,CCC,,di-C14:0,di-C14:0,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,SP,,CCC CCC,1,
,x,SP,S1D based IL -  Charged,SP,DSSP,CCCC,CCCC,,di-C18:0,di-C18:0,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,SP,,CCCC CCCC,1,
,x,SP,S1D based IL -  Charged,SP,DBSP,CCCCC,CCCCC,,di-C22:0,di-C22:0,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,SP,,CCCCC CCCCC,1,
,x,SP,S1D based IL -  Charged,SP,DOSP,CDCC,CDCC,,di-C18:1,di-C18:1,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,SP,,CDCC CDCC,1,
,x,SP,S1D based IL -  Charged,SP,DVSP,CCDC,CCDC,,di-C18:1,di-C18:1,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,SP,,CCDC CCDC,1,
,x,SP,S1D based IL -  Charged,SP,DESP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DESP),S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,SP,,,,
,x,SP,S1D based IL -  Charged,SP,DNSP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of ionizable Martini 3 lipids - ALC (DNSP),S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,SP,,CCCDCC CCCDCC,1,
,x,SP,S1D based IL -  Charged,SP,SOSP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,SP,,CCCC CCCC,1,
,x,SP,S1D based IL -  Charged,SP,SLSP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,SP,,CCCC CDCC,1,
,x,SP,S1D based IL -  Charged,SP,OLSP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,SP,,CCCC CDDC,1,
,x,SP,S1D based IL -  Charged,SP,OESP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,SP,,CDCC CDDC,1,
,x,SP,S1D based IL -  Charged,SP,LFSP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,SP,,CDCC CDDD,1,
,x,SP,S1D based IL -  Charged,SP,DUSP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,S1D based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,SP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_ALC_1_dev_v1.itp,ALC based IL -  Charged,Collection of ionizable Martini 3 lipids - ALC,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,ZP,ALC based IL -  Charged,ZP,DLZP,CCC,CCC,,di-C14:0,di-C14:0,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,ZP,,CCC CCC,1,
,x,ZP,ALC based IL -  Charged,ZP,DSZP,CCCC,CCCC,,di-C18:0,di-C18:0,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,ZP,,CCCC CCCC,1,
,x,ZP,ALC based IL -  Charged,ZP,DBP,CCCCC,CCCCC,,di-C22:0,di-C22:0,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,ZP,,CCCCC CCCCC,1,
,x,ZP,ALC based IL -  Charged,ZP,DOZP,CDCC,CDCC,,di-C18:1,di-C18:1,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,ZP,,CDCC CDCC,1,
,x,ZP,ALC based IL -  Charged,ZP,DVZP,CCDC,CCDC,,di-C18:1,di-C18:1,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,ZP,,CCDC CCDC,1,
,x,ZP,ALC based IL -  Charged,ZP,DEZP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEZP),ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,ZP,,CCDCC CCDCC,1,
,x,ZP,ALC based IL -  Charged,ZP,DNZP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of ionizable Martini 3 lipids - ALC (DNZP),ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,ZP,,CCCDCC CCCDCC,1,
,x,ZP,ALC based IL -  Charged,ZP,SOZP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,ZP,,CCCC CDCC,1,
,x,ZP,ALC based IL -  Charged,ZP,SLZP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,ZP,,CCCC CDDC,1,
,x,ZP,ALC based IL -  Charged,ZP,OLZP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,ZP,,CDCC CDDC,1,
,x,ZP,ALC based IL -  Charged,ZP,OEZP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,ZP,,CDCC CCDCC,1,
,x,ZP,ALC based IL -  Charged,ZP,LFZP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,ZP,,CDDC CDDD,1,
,x,ZP,ALC based IL -  Charged,ZP,DUZP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,ALC based IL -  Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,ZP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_ALC_0_dev_v1.itp,ALC based IL -  Neutral,Collection of ionizable Martini 3 lipids - ALC,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,Z1,ALC based IL -  Neutral,Z1,DLZ1,CCC,CCC,,di-C14:0,di-C14:0,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,Z1,,CCC CCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,DSZ1,CCCC,CCCC,,di-C18:0,di-C18:0,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,Z1,,CCCC CCCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,DBZ1,CCCCC,CCCCC,,di-C22:0,di-C22:0,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,Z1,,CCCCC CCCCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,DOZ1,CDCC,CDCC,,di-C18:1,di-C18:1,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,Z1,,CDCC CDCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,DVZ1,CCDC,CCDC,,di-C18:1,di-C18:1,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,Z1,,CCDC CCDC,0,
,x,Z1,ALC based IL -  Neutral,Z1,DEZ1,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEZ1),ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,Z1,,CCDCC CCDCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,DNZ1,CCCDCC,CCCDCC,,di-C24:1,di-C24:1  (DNZ1),ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,Z1,,CCCDCC CCCDCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,SOZ1,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,Z1,,CCCC CDCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,SLZ1,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,Z1,,CCCC CDDC,0,
,x,Z1,ALC based IL -  Neutral,Z1,OLZ1,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,Z1,,CDCC CDDC,0,
,x,Z1,ALC based IL -  Neutral,Z1,OEZ1,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,Z1,,CDCC CCDCC,0,
,x,Z1,ALC based IL -  Neutral,Z1,LFZ1,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,ALC based IL -  Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,Z1,,CDDC CDDD,0,
